http_200,http_3xx,http_404,http_4xx,http_5xx,has_username_in_path,is_homepage,has_auth_pattern,error_keyword_count,positive_keyword_count,meta_error_keyword_count,meta_positive_keyword_count,profile_section_count,error_section_count,img_count,input_count,form_count,title_has_username,meta_has_username,response_time,content_length,redirect_count,fingerprint_match_found,fingerprint_match_not_found,og_type_profile,has_json_ld_person,username_in_canonical,link_count,text_length,heuristic_score,label
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.46899999999732245,99996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2819999999992433,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4069999999992433,12533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5159999999959837,9687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031000000002677552,5726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,3390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030999999995401595,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4690000000045984,49368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430000000007567,3390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.8600000000005821,21143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0
